"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","SEXLEVEL","SEX","DIS","CDF","Range0","Range1"
"95",140,24,3,"702206",1201,32,24003702206,"1400000US24003702206",1,"Male",3080,0.483364720652856,0.483364720652856,0,0.483365237288136
"96",140,24,3,"702206",1201,32,24003702206,"1400000US24003702206",2,"Female",3292,0.516635279347144,1,0.483365237288136,1
"97",140,24,3,"702208",1201,33,24003702208,"1400000US24003702208",0,"Total",6962,0,0,0,0
"98",140,24,3,"702208",1201,33,24003702208,"1400000US24003702208",1,"Male",3408,0.489514507325481,0.489514507325481,0,0.489515017810974
"99",140,24,3,"702208",1201,33,24003702208,"1400000US24003702208",2,"Female",3554,0.510485492674519,1,0.489515017810974,1
"100",140,24,3,"702209",1201,34,24003702209,"1400000US24003702209",0,"Total",4523,0,0,0,0
"101",140,24,3,"702209",1201,34,24003702209,"1400000US24003702209",1,"Male",2217,0.490161397302675,0.490161397302675,0,0.490161907141278
"102",140,24,3,"702209",1201,34,24003702209,"1400000US24003702209",2,"Female",2306,0.509838602697325,1,0.490161907141278,1
"103",140,24,3,"702300",1204,35,24003702300,"1400000US24003702300",0,"Total",5423,0,0,0,0
"104",140,24,3,"702300",1204,35,24003702300,"1400000US24003702300",1,"Male",2720,0.501567398119122,0.501567398119122,0,0.501567896551724
"105",140,24,3,"702300",1204,35,24003702300,"1400000US24003702300",2,"Female",2703,0.498432601880878,1,0.501567896551724,1
"106",140,24,3,"702402",1204,36,24003702402,"1400000US24003702402",0,"Total",6049,0,0,0,0
"107",140,24,3,"702402",1204,36,24003702402,"1400000US24003702402",1,"Male",2903,0.479914035377748,0.479914035377748,0,0.479914555463713
"108",140,24,3,"702402",1204,36,24003702402,"1400000US24003702402",2,"Female",3146,0.520085964622252,1,0.479914555463713,1
"109",140,24,3,"702500",1204,37,24003702500,"1400000US24003702500",0,"Total",6669,0,0,0,0
"110",140,24,3,"702500",1204,37,24003702500,"1400000US24003702500",1,"Male",3197,0.479382216224321,0.479382216224322,0,0.479382736842105
"111",140,24,3,"702500",1204,37,24003702500,"1400000US24003702500",2,"Female",3472,0.520617783775678,1,0.479382736842105,1
"112",140,24,3,"702601",1204,38,24003702601,"1400000US24003702601",0,"Total",5629,0,0,0,0
"113",140,24,3,"702601",1204,38,24003702601,"1400000US24003702601",1,"Male",2660,0.472552851305738,0.472552851305738,0,0.472553378752887
"114",140,24,3,"702601",1204,38,24003702601,"1400000US24003702601",2,"Female",2969,0.527447148694262,1,0.472553378752887,1
"115",140,24,3,"702602",1204,39,24003702602,"1400000US24003702602",0,"Total",6021,0,0,0,0
"116",140,24,3,"702602",1204,39,24003702602,"1400000US24003702602",1,"Male",2934,0.48729446935725,0.48729446935725,0,0.48729498206278
"117",140,24,3,"702602",1204,39,24003702602,"1400000US24003702602",2,"Female",3087,0.51270553064275,1,0.48729498206278,1
"118",140,24,3,"702701",1204,40,24003702701,"1400000US24003702701",0,"Total",4815,0,0,0,0
"119",140,24,3,"702701",1204,40,24003702701,"1400000US24003702701",1,"Male",2524,0.524195223260644,0.524195223260644,0,0.524195699065421
