"","PUMA","ESRLEVEL","ESR","CLASS","CenTrN","DIS","CDF","Range0","Range1"
"206","1004","ESR4",1868,5,26,0.00998925139437757,0.731873091587746,0.721883850182619,0.731873091587746
"207","1004","ESR5",0,6,26,0,0.731873091587746,0.731873091587746,0.731873359714654
"208","1004","ESR6",50140,7,26,0.268126908412255,1,0.731873359714654,1
"209","1005","Total",146593,0,27,0,0,0,0
"210","1005","ESR0",29966,1,27,0.204416309100707,0.204416309100707,0,0.204416805161229
"211","1005","ESR1",72719,2,27,0.496060521307293,0.700476830408,0.204416805161229,0.700476845388252
"212","1005","ESR2",2196,3,27,0.0149802514444755,0.715457081852476,0.700476845388252,0.715457119992087
"213","1005","ESR3",5591,4,27,0.0381396110319047,0.753596692884381,0.715457119992087,0.753596697748187
"214","1005","ESR4",713,5,27,0.00486380659376641,0.758460499478147,0.753596697748187,0.758460499478147
"215","1005","ESR5",0,6,27,0,0.758460499478147,0.758460499478147,0.758460741017647
"216","1005","ESR6",35408,7,27,0.241539500521853,1,0.758460741017647,1
"217","1006","Total",125612,0,28,0,0,0,0
"218","1006","ESR0",25274,1,28,0.201206891061364,0.201206891061364,0,0.201207403520364
"219","1006","ESR1",64371,2,28,0.512459000732414,0.713665891793778,0.201207403520364,0.713665897000287
"220","1006","ESR2",654,3,28,0.00520650893226762,0.718872400726045,0.713665897000287,0.718872429377766
"221","1006","ESR3",3599,4,28,0.0286517211731363,0.747524121899182,0.718872429377766,0.747524122480336
"222","1006","ESR4",73,5,28,0.000581154666751584,0.748105276565933,0.747524122480336,0.748105276565933
"223","1006","ESR5",0,6,28,0,0.748105276565933,0.748105276565933,0.748105528460657
"224","1006","ESR6",31641,7,28,0.251894723434067,1,0.748105528460657,1
"225","1007","Total",121028,0,29,0,0,0,0
"226","1007","ESR0",24873,1,29,0.205514426413722,0.205514426413723,0,0.205515003908187
"227","1007","ESR1",69893,2,29,0.577494464090954,0.783008890504677,0.205515003908187,0.783008905112866
"228","1007","ESR2",1768,3,29,0.0146081898403675,0.797617080345044,0.783008905112866,0.797617101133622
"229","1007","ESR3",2516,4,29,0.0207885778497538,0.818405658194798,0.797617101133622,0.818405661218891
"230","1007","ESR4",366,5,29,0.00302409359817563,0.821429751792974,0.818405661218891,0.821429751792974
"231","1007","ESR5",0,6,29,0,0.821429751792974,0.821429751792974,0.821429930363222
"232","1007","ESR6",21612,7,29,0.178570248207026,1,0.821429930363222,1
"233","1101","Total",129150,0,30,0,0,0,0
"234","1101","ESR0",27069,1,30,0.209593495934959,0.209593495934959,0,0.209593998521099
"235","1101","ESR1",64909,2,30,0.502586140147116,0.712179636082075,0.209593998521099,0.712179642485482
"236","1101","ESR2",827,3,30,0.00640340689121177,0.718583042973287,0.712179642485482,0.718583070654278
"237","1101","ESR3",3575,4,30,0.0276809910956252,0.746264034068912,0.718583070654278,0.746264035300039
"238","1101","ESR4",159,5,30,0.00123112659698026,0.747495160665892,0.746264035300039,0.747495160665892
"239","1101","ESR5",0,6,30,0,0.747495160665892,0.747495160665892,0.747495413170732
"240","1101","ESR6",32611,7,30,0.252504839334108,1,0.747495413170732,1
"241","1102","Total",132968,0,31,0,0,0,0
"242","1102","ESR0",25626,1,31,0.192723061187654,0.192723061187654,0,0.192723604092714
"243","1102","ESR1",72189,2,31,0.542905059864027,0.735628121051682,0.192723604092714,0.735628131595572
"244","1102","ESR2",1402,3,31,0.0105438902593105,0.746172011310992,0.735628131595572,0.746172054373985
"245","1102","ESR3",5726,4,31,0.0430629925997232,0.789235003910715,0.746172054373985,0.789235006189459
"246","1102","ESR4",303,5,31,0.00227874375789664,0.791513747668612,0.789235006189459,0.791513747668612
"247","1102","ESR5",0,6,31,0,0.791513747668612,0.791513747668612,0.791513956154864
"248","1102","ESR6",27722,7,31,0.208486252331388,1,0.791513956154864,1
"249","1103","Total",111741,0,32,0,0,0,0
"250","1103","ESR0",24278,1,32,0.217270294699349,0.217270294699349,0,0.217270836398457
"251","1103","ESR1",60530,2,32,0.541699107758119,0.758969402457469,0.217270836398457,0.758969411066663
