,X,CensusTrct,INCOME,CLASS,N_return,N_single,N_joint,N_head,N_dpnd,INC,INC_R,DIS,CDF,Range0,Range1
166,1125,24003701101,"$75,000 under $100,000",4,310,110,170,20,150,3130,426,0.097661623,0.450481431,0.352819905,0.450481778
167,1126,24003701101,"$100,000 under $200,000",5,990,130,800,50,800,10270,1517,0.347776249,0.79825768,0.450481778,0.798257881
168,1127,24003701101,"$200,000 or more",6,940,40,880,0,1160,7200,879,0.201513067,0.999770747,0.798257881,1
169,1135,24003701102,Total,0,10570,4930,4360,1010,5850,20510,9303,0,0,0,0
170,1136,24003701102,"$1 under $25,000",1,2660,2160,190,260,610,3410,1547,0.166290444,0.166290444,0,0.166290574
171,1137,24003701102,"$25,000 under $50,000",2,1740,1100,270,290,740,2670,1211,0.130173062,0.296463506,0.166290574,0.296463625
172,1138,24003701102,"$50,000 under $75,000",3,1400,740,430,170,660,2430,1102,0.118456412,0.414919918,0.296463625,0.414920024
173,1139,24003701102,"$75,000 under $100,000",4,1070,410,510,120,610,2160,980,0.105342363,0.520262281,0.414920024,0.520262589
174,1140,24003701102,"$100,000 under $200,000",5,2460,400,1880,140,2010,6310,2862,0.307642696,0.827904977,0.520262589,0.827905149
175,1141,24003701102,"$200,000 or more",6,1240,120,1080,30,1220,3530,1601,0.172095023,1,0.827905149,1
176,11351,24003701200,Total,0,10570,4930,4360,1010,5850,20510,7341,0,0,0,0
177,11361,24003701200,"$1 under $25,000",1,2660,2160,190,260,610,3410,1221,0.166326114,0.166326114,0,0.166326244
178,11371,24003701200,"$25,000 under $50,000",2,1740,1100,270,290,740,2670,956,0.130227489,0.296553603,0.166326244,0.296553722
179,11381,24003701200,"$50,000 under $75,000",3,1400,740,430,170,660,2430,870,0.118512464,0.415066067,0.296553722,0.415066173
180,11391,24003701200,"$75,000 under $100,000",4,1070,410,510,120,610,2160,773,0.105299006,0.520365073,0.415066173,0.520365381
181,11401,24003701200,"$100,000 under $200,000",5,2460,400,1880,140,2010,6310,2259,0.307723743,0.828088816,0.520365381,0.828088988
182,11411,24003701200,"$200,000 or more",6,1240,120,1080,30,1220,3530,1264,0.172183626,1.000272442,0.828088988,1
183,428,24003701300,Total,0,3320,1570,1190,480,2100,38800,8166,0,0,0,0
184,429,24003701300,"$1 under $25,000",1,1060,760,110,170,500,6840,1317,0.161278472,0.161278472,0,0.161278582
185,430,24003701300,"$25,000 under $50,000",2,750,390,150,170,460,5160,899,0.11009062,0.271369091,0.161278582,0.271369181
186,431,24003701300,"$50,000 under $75,000",3,490,220,170,90,350,4390,729,0.089272594,0.360641685,0.271369181,0.360641765
187,432,24003701300,"$75,000 under $100,000",4,280,110,140,50,170,3680,650,0.079598335,0.44024002,0.360641765,0.440240304
188,433,24003701300,"$100,000 under $200,000",5,520,90,420,0,390,11070,2323,0.284472202,0.724712221,0.440240304,0.724712497
189,434,24003701300,"$200,000 or more",6,220,0,200,0,230,7660,2248,0.275287779,1,0.724712497,1
190,4281,24003701400,Total,0,3320,1570,1190,480,2100,68270,38744,0,0,0,0
191,4291,24003701400,"$1 under $25,000",1,1060,760,110,170,500,16320,10887,0.280998348,0.280998348,0,0.280998559
192,4301,24003701400,"$25,000 under $50,000",2,750,390,150,170,460,12520,8181,0.211155276,0.492153624,0.280998559,0.492153764
193,4311,24003701400,"$50,000 under $75,000",3,490,220,170,90,350,9120,5447,0.140589511,0.632743134,0.492153764,0.632743233
194,4321,24003701400,"$75,000 under $100,000",4,280,110,140,50,170,6820,3823,0.098673343,0.731416477,0.632743233,0.731416651
195,4331,24003701400,"$100,000 under $200,000",5,520,90,420,0,390,15210,6708,0.173136486,0.904552963,0.731416651,0.904553058
196,4341,24003701400,"$200,000 or more",6,220,0,200,0,230,8280,3698,0.095447037,1,0.904553058,1
197,1107,24003702100,Total,0,4500,1980,2140,270,2360,63240,7325,0,0,0,0
198,1108,24003702100,"$1 under $25,000",1,1030,860,80,80,190,12010,1067,0.145665529,0.145665529,0,0.14566564
199,1109,24003702100,"$25,000 under $50,000",2,690,460,120,70,200,10060,811,0.110716724,0.256382253,0.14566564,0.256382361
200,1110,24003702100,"$50,000 under $75,000",3,550,280,200,40,240,7180,793,0.108259386,0.364641638,0.256382361,0.364641738
201,1111,24003702100,"$75,000 under $100,000",4,450,170,240,30,210,5920,734,0.100204778,0.464846416,0.364641738,0.464846719
202,1112,24003702100,"$100,000 under $200,000",5,1050,160,830,50,820,16310,2216,0.302525597,0.767372014,0.464846719,0.767372246
203,1113,24003702100,"$200,000 or more",6,730,50,670,0,700,11760,1705,0.232764505,1.000136519,0.767372246,1
204,1219,24003702204,Total,0,6100,2590,2830,540,3820,38710,3998,0,0,0,0
205,1220,24003702204,"$1 under $25,000",1,1340,1120,90,110,240,5230,547,0.136818409,0.136818409,0,0.136818537
206,1221,24003702204,"$25,000 under $50,000",2,890,560,170,130,400,4790,512,0.128064032,0.264882441,0.136818537,0.264882567
207,1222,24003702204,"$50,000 under $75,000",3,740,410,220,80,290,4520,501,0.125312656,0.390195098,0.264882567,0.390195222
208,1223,24003702204,"$75,000 under $100,000",4,660,240,320,80,400,4620,496,0.124062031,0.514257129,0.390195222,0.514257489
209,1224,24003702204,"$100,000 under $200,000",5,1600,220,1240,110,1480,13730,1442,0.36068034,0.874937469,0.514257489,0.874937594
210,1225,24003702204,"$200,000 or more",6,870,40,790,30,1010,5820,499,0.124812406,0.999749875,0.874937594,1
211,1359,24003702205,Total,0,12810,5870,5050,1540,8590,26100,7638,0,0,0,0
