PUMA,GEOID10,POP
1003,24031701002,3675
1003,24031701004,5055
1003,24031701005,3337
1003,24031701006,5549
1003,24031701007,3158
1003,24031701101,4636
1003,24031701102,6306
1004,24031701201,6012
1004,24031701202,2726
1004,24031701205,6370
1004,24031701206,6366
1003,24031701210,3948
1003,24031701211,6651
1001,24031701212,2714
1004,24031701213,5458
1004,24031701214,2793
1004,24031701215,4393
1004,24031701216,4157
1004,24031701218,2737
1004,24031701219,3121
1003,24031701220,3973
1003,24031701221,4553
1005,24031701303,3709
1001,24031701304,6038
1001,24031701306,3064
1001,24031701307,3576
1001,24031701308,3023
1001,24031701312,6080
1001,24031701313,3769
1001,24031701314,2854
1001,24031701315,4566
1001,24031701316,6317
1001,24031701317,4458
1006,24031701407,5674
1006,24031701408,6301
1006,24031701409,4361
1006,24031701410,7568
1006,24031701414,7465
1006,24031701415,7499
1006,24031701417,5596
1006,24031701418,3307
1006,24031701420,6907
1006,24031701421,1347
1006,24031701422,2570
1006,24031701423,4614
1006,24031701503,6949
1006,24031701505,6771
1006,24031701506,4986
1006,24031701507,4949
1006,24031701508,3687
1006,24031701509,6269
1007,24031701601,1938
1007,24031701602,6162
1007,24031701701,3400
1007,24031701702,2417
1007,24031701703,3154
1007,24031701704,2810
1007,24031701800,4947
1007,24031701900,3053
1007,24031702000,5400
1007,24031702101,5720
1007,24031702102,3197
1007,24031702200,4338
1007,24031702301,3720
1007,24031702302,4026
1007,24031702401,2516
1007,24031702402,4506
1007,24031702500,4987
1007,24031702601,3931
1007,24031702602,4482
1007,24031702700,6848
1007,24031702800,4620
1007,24031702900,5192
1007,24031703000,1755
1007,24031703100,4372
1005,24031703201,7356
1005,24031703202,5584
1005,24031703206,3442
1005,24031703207,5646
1006,24031703208,5301
1005,24031703209,5526
1006,24031703210,3282
1005,24031703212,7692
1005,24031703213,5887
1005,24031703214,6713
1005,24031703215,3074
1005,24031703216,3596
1005,24031703218,1899
1005,24031703219,3257
1006,24031703220,4975
1006,24031703221,5143
1005,24031703301,4765
1005,24031703302,4273
1005,24031703401,5569
1005,24031703402,3805
1005,24031703403,3683
1005,24031703404,3240
1005,24031703501,6640
1005,24031703502,2929
1005,24031703601,4640
1005,24031703602,2919
1005,24031703701,4175
1005,24031703702,4040
1005,24031703800,2943
1007,24031703901,2957
1005,24031703902,7185
1007,24031704000,6799
1005,24031704100,4661
1005,24031704200,2213
1005,24031704300,3835
1004,24031704401,3086
1004,24031704403,1510
1004,24031704404,5164
1004,24031704501,3592
1004,24031704502,2677
1004,24031704503,3931
1004,24031704600,5079
1004,24031704700,3858
1004,24031704803,3326
1004,24031704804,1508
1004,24031704805,1865
1004,24031704806,2780
1004,24031705000,4465
1004,24031705100,5090
1004,24031705200,3270
1004,24031705300,1895
1004,24031705400,2824
1004,24031705501,2493
1004,24031705502,3993
1004,24031705601,2835
1004,24031705602,3925
1004,24031705701,4614
1004,24031705702,4457
1004,24031705800,6003
1004,24031705901,4226
1004,24031705902,4164
1004,24031705903,4547
1004,24031706005,4579
1004,24031706007,7166
1004,24031706008,5330
1004,24031706009,5602
1004,24031706010,3026
1004,24031706011,5290
1004,24031706012,3130
1004,24031706013,2714
1102,24033800102,2763
1102,24033800103,2178
1102,24033800105,3465
1102,24033800106,2651
1102,24033800108,3559
1102,24033800109,3818
1102,24033800203,4252
1102,24033800206,3989
1102,24033800208,7641
1102,24033800209,4001
1102,24033800210,2882
1102,24033800211,2940
1102,24033800212,4199
1102,24033800213,4355
1102,24033800214,2690
1102,24033800215,2634
1105,24033800401,2532
1105,24033800402,4921
1105,24033800403,3683
1105,24033800408,6808
1105,24033800409,6362
1102,24033800410,6634
1102,24033800411,4252
1102,24033800412,3272
1102,24033800413,3714
1105,24033800504,4660
1105,24033800505,2676
1105,24033800507,2943
1105,24033800509,9339
1105,24033800511,5111
1105,24033800513,5416
1105,24033800514,4672
1105,24033800515,3843
1105,24033800516,3566
1105,24033800517,5387
1105,24033800518,3178
1105,24033800519,4191
1105,24033800520,1918
1105,24033800601,1934
1105,24033800604,1738
1105,24033800605,5049
1105,24033800606,4708
1105,24033800607,5882
1105,24033800608,3555
1105,24033800701,5394
1106,24033800704,4817
1106,24033800705,4213
1106,24033800706,3550
1106,24033800707,2840
1106,24033800800,3539
1106,24033800900,1698
1106,24033801003,3607
1106,24033801004,4141
1106,24033801005,3719
1106,24033801006,3888
1106,24033801104,2973
1106,24033801207,4432
1106,24033801208,3644
1106,24033801209,4361
1106,24033801210,4103
1106,24033801211,3188
1106,24033801212,3091
1106,24033801213,3825
1106,24033801214,3995
1106,24033801215,2386
1106,24033801216,3425
1106,24033801217,3636
1106,24033801302,2734
1106,24033801305,5569
1106,24033801307,3668
1106,24033801308,3580
1106,24033801309,3408
1106,24033801310,6143
1106,24033801311,5721
1106,24033801312,3757
1106,24033801313,3140
1107,24033801404,4812
1107,24033801405,4245
1107,24033801406,2768
1107,24033801407,6308
1107,24033801408,3411
1107,24033801409,2752
1107,24033801410,3519
1107,24033801411,3398
1107,24033801500,2506
1107,24033801600,2813
1107,24033801701,4195
1107,24033801702,3737
1107,24033801704,5467
1107,24033801706,1522
1107,24033801707,6175
1107,24033801708,3425
1107,24033801801,1966
1107,24033801802,3855
1107,24033801804,2022
1107,24033801805,2763
1107,24033801807,4685
1107,24033801808,3689
1107,24033801901,4909
1107,24033801904,3405
1107,24033801905,4696
1107,24033801906,1966
1107,24033801907,3528
1107,24033801908,3363
1107,24033802001,5702
1104,24033802002,3747
1104,24033802103,3079
1104,24033802104,2005
1104,24033802106,4508
1104,24033802107,3560
1105,24033802201,1872
1104,24033802203,4655
1104,24033802204,6376
1104,24033802301,3674
1104,24033802404,4540
1107,24033802405,4240
1104,24033802406,2440
1104,24033802407,3695
1104,24033802408,1783
1107,24033802501,3167
1104,24033802502,2406
1104,24033802600,3280
1104,24033802700,2754
1104,24033802803,5101
1104,24033802804,5466
1104,24033802805,4895
1104,24033802901,3962
1104,24033803001,2945
1104,24033803002,2723
1104,24033803100,2627
1104,24033803200,3027
1104,24033803300,4337
1104,24033803401,1323
1104,24033803402,4631
1104,24033803508,4938
1104,24033803509,3079
1105,24033803512,6239
1105,24033803513,4470
1105,24033803514,4381
1105,24033803516,4446
1104,24033803519,3825
1105,24033803520,4305
1105,24033803521,4655
1105,24033803522,3727
1105,24033803523,3625
1104,24033803524,3295
1104,24033803525,2404
1105,24033803526,3482
1105,24033803527,3084
1105,24033803601,3491
1104,24033803602,1866
1103,24033803605,6763
1102,24033803606,5500
1105,24033803607,3405
1105,24033803608,5776
1103,24033803610,3283
1103,24033803612,3144
1103,24033803613,5074
1103,24033803700,2545
1103,24033803801,2609
1103,24033803803,5003
1103,24033803900,3593
1103,24033804001,5137
1103,24033804002,3992
1103,24033804101,3238
1103,24033804102,5974
1103,24033804200,3094
1103,24033804300,3452
1103,24033804400,2709
1103,24033804600,3002
1103,24033804700,3583
1103,24033804801,2376
1103,24033804802,2677
1103,24033804900,3879
1101,24033805000,5223
1101,24033805101,3664
