"","CensusTrct","INCOMECLASS","CLASS","INC","INC_R","DIS","CDF","Range0","Range1"
"2666",24013506101,"$100,000 under $200,000",5,8750,1580,0.223069320909219,0.957927431879147,0.734858334039249,0.957927473951715
"2667",24013506101,"$200,000 or more",6,1890,298,0.0420725681208527,1,0.957927473951715,1
"2668",24013506102,"Total",0,31410,10089,0,0,0,0
"2669",24013506102,"$1 under $25,000",1,9160,2946,0.292001189414213,0.292001189414214,0,0.292001385865795
"2670",24013506102,"$25,000 under $50,000",2,6200,1982,0.196451580929725,0.488452770343939,0.292001385865795,0.488452912776291
"2671",24013506102,"$50,000 under $75,000",3,4500,1437,0.142432352066607,0.630885122410546,0.488452912776291,0.630885234611954
"2672",24013506102,"$75,000 under $100,000",4,3530,1132,0.112201407473486,0.743086529884032,0.630885234611954,0.743086742590941
"2673",24013506102,"$100,000 under $200,000",5,6620,2146,0.212706908514223,0.955793438398256,0.743086742590941,0.955793482604817
"2674",24013506102,"$200,000 or more",6,1400,446,0.0442065616017445,1,0.955793482604817,1
"2675",24013506200,"Total",0,13520,5856,0,0,0,0
"2676",24013506200,"$1 under $25,000",1,3770,1640,0.280054644808743,0.280054644808743,0,0.280054830601093
"2677",24013506200,"$25,000 under $50,000",2,2580,1088,0.185792349726776,0.465846994535519,0.280054830601093,0.465847142076503
"2678",24013506200,"$50,000 under $75,000",3,2050,864,0.147540983606557,0.613387978142077,0.465847142076503,0.61338809409153
"2679",24013506200,"$75,000 under $100,000",4,1580,679,0.115949453551913,0.729337431693989,0.61338809409153,0.729337662397541
"2680",24013506200,"$100,000 under $200,000",5,2970,1351,0.230703551912568,0.960040983606557,0.729337662397541,0.960041023565574
"2681",24013506200,"$200,000 or more",6,570,234,0.0399590163934426,1,0.960041023565574,1
"2682",24013507500,"Total",0,28310,10976,0,0,0,0
"2683",24013507500,"$1 under $25,000",1,8270,3066,0.279336734693878,0.279336734693878,0,0.279336932944606
"2684",24013507500,"$25,000 under $50,000",2,5680,2176,0.198250728862974,0.477587463556851,0.279336932944606,0.477587615069242
"2685",24013507500,"$50,000 under $75,000",3,4050,1663,0.151512390670554,0.629099854227405,0.477587615069242,0.629099973760933
"2686",24013507500,"$75,000 under $100,000",4,3210,1312,0.119533527696793,0.748633381924198,0.629099973760933,0.748633586279154
"2687",24013507500,"$100,000 under $200,000",5,5780,2243,0.204354956268222,0.95298833819242,0.748633586279154,0.952988385204082
"2688",24013507500,"$200,000 or more",6,1320,516,0.0470116618075802,1,0.952988385204082,1
"2689",24013507601,"Total",0,28310,17384,0,0,0,0
"2690",24013507601,"$1 under $25,000",1,8270,5221,0.300333640128854,0.300333640128854,0,0.300333842268753
"2691",24013507601,"$25,000 under $50,000",2,5680,3514,0.202139898757478,0.502473538886332,0.300333842268753,0.502473676484123
"2692",24013507601,"$50,000 under $75,000",3,4050,2392,0.13759779107225,0.640071329958583,0.502473676484123,0.640071439427059
"2693",24013507601,"$75,000 under $100,000",4,3210,1903,0.109468476760239,0.749539806718822,0.640071439427059,0.749540010757018
"2694",24013507601,"$100,000 under $200,000",5,5780,3547,0.204038196042338,0.95357800276116,0.749540010757018,0.953578049183157
"2695",24013507601,"$200,000 or more",6,1320,807,0.0464219972388403,1,0.953578049183157,1
"2696",24013507602,"Total",0,17890,17890,0,0,0,0
"2697",24013507602,"$1 under $25,000",1,5390,5390,0.301285634432644,0.301285634432644,0,0.301285836780324
"2698",24013507602,"$25,000 under $50,000",2,3620,3620,0.202347680268306,0.50363331470095,0.301285836780324,0.503633451648966
