"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HHTLEVEL","HHT","DIS","CDF","Range0","Range1"
"91",140,24,1,1300,100,12,"24001001300","1400000US24001001300",2,"OthMale",52,0.0579710144927536,0.520624303232999,0.46265334671126,0.520624422519509
"92",140,24,1,1300,100,12,"24001001300","1400000US24001001300",3,"OthFemale",107,0.119286510590858,0.639910813823857,0.520624422519509,0.639910947603122
"93",140,24,1,1300,100,12,"24001001300","1400000US24001001300",4,"NonfMalone",120,0.133779264214047,0.773690078037904,0.639910947603122,0.773690108138239
"94",140,24,1,1300,100,12,"24001001300","1400000US24001001300",5,"NonfMNalone",27,0.0301003344481605,0.803790412486065,0.773690108138239,0.803790587513935
"95",140,24,1,1300,100,12,"24001001300","1400000US24001001300",6,"NonfFalone",157,0.175027870680045,0.978818283166109,0.803790587513935,0.978818304347826
"96",140,24,1,1300,100,12,"24001001300","1400000US24001001300",7,"NonfFNalone",19,0.0211817168338907,1,0.978818304347826,1
"97",140,24,1,1401,100,13,"24001001401","1400000US24001001401",0,"Total",1752,0,0,0,0
"98",140,24,1,1401,100,13,"24001001401","1400000US24001001401",1,"MarriedFamilyHH",1029,0.587328767123288,0.587328767123288,0,0.587328799086758
"99",140,24,1,1401,100,13,"24001001401","1400000US24001001401",2,"OthMale",56,0.0319634703196347,0.619292237442922,0.587328799086758,0.619292308789954
"100",140,24,1,1401,100,13,"24001001401","1400000US24001001401",3,"OthFemale",125,0.0713470319634703,0.690639269406393,0.619292308789954,0.69063937956621
"101",140,24,1,1401,100,13,"24001001401","1400000US24001001401",4,"NonfMalone",193,0.110159817351598,0.800799086757991,0.69063937956621,0.800799114155251
"102",140,24,1,1401,100,13,"24001001401","1400000US24001001401",5,"NonfMNalone",48,0.0273972602739726,0.828196347031963,0.800799114155251,0.828196503995434
"103",140,24,1,1401,100,13,"24001001401","1400000US24001001401",6,"NonfFalone",275,0.156963470319635,0.985159817351598,0.828196503995434,0.985159832191781
"104",140,24,1,1401,100,13,"24001001401","1400000US24001001401",7,"NonfFNalone",26,0.0148401826484018,1,0.985159832191781,1
"105",140,24,1,1402,100,14,"24001001402","1400000US24001001402",0,"Total",676,0,0,0,0
"106",140,24,1,1402,100,14,"24001001402","1400000US24001001402",1,"MarriedFamilyHH",370,0.547337278106509,0.547337278106509,0,0.547337312130178
"107",140,24,1,1402,100,14,"24001001402","1400000US24001001402",2,"OthMale",23,0.0340236686390533,0.581360946745562,0.547337312130178,0.581361038461538
"108",140,24,1,1402,100,14,"24001001402","1400000US24001001402",3,"OthFemale",62,0.0917159763313609,0.673076923076923,0.581361038461538,0.673077017751479
"109",140,24,1,1402,100,14,"24001001402","1400000US24001001402",4,"NonfMalone",64,0.0946745562130177,0.767751479289941,0.673077017751479,0.76775150443787
"110",140,24,1,1402,100,14,"24001001402","1400000US24001001402",5,"NonfMNalone",17,0.0251479289940828,0.792899408284024,0.76775150443787,0.792899600591716
"111",140,24,1,1402,100,14,"24001001402","1400000US24001001402",6,"NonfFalone",130,0.192307692307692,0.985207100591716,0.792899600591716,0.985207115384615
"112",140,24,1,1402,100,14,"24001001402","1400000US24001001402",7,"NonfFNalone",10,0.014792899408284,1,0.985207115384615,1
"113",140,24,1,1502,100,15,"24001001502","1400000US24001001502",0,"Total",823,0,0,0,0
"114",140,24,1,1502,100,15,"24001001502","1400000US24001001502",1,"MarriedFamilyHH",476,0.578371810449575,0.578371810449575,0,0.578371859052248
"115",140,24,1,1502,100,15,"24001001502","1400000US24001001502",2,"OthMale",40,0.0486026731470231,0.626974483596598,0.578371859052248,0.626974582017011
"116",140,24,1,1502,100,15,"24001001502","1400000US24001001502",3,"OthFemale",81,0.0984204131227217,0.72539489671932,0.626974582017011,0.725394993924666
"117",140,24,1,1502,100,15,"24001001502","1400000US24001001502",4,"NonfMalone",80,0.0972053462940462,0.822600243013366,0.725394993924666,0.822600268529769
"118",140,24,1,1502,100,15,"24001001502","1400000US24001001502",5,"NonfMNalone",21,0.0255164034021871,0.848116646415553,0.822600268529769,0.848116782503038
"119",140,24,1,1502,100,15,"24001001502","1400000US24001001502",6,"NonfFalone",112,0.136087484811665,0.984204131227218,0.848116782503038,0.984204147023086
"120",140,24,1,1502,100,15,"24001001502","1400000US24001001502",7,"NonfFNalone",13,0.0157958687727825,1,0.984204147023086,1
"121",140,24,1,1503,100,16,"24001001503","1400000US24001001503",0,"Total",779,0,0,0,0
"122",140,24,1,1503,100,16,"24001001503","1400000US24001001503",1,"MarriedFamilyHH",459,0.589216944801027,0.589216944801027,0,0.589216988446727
"123",140,24,1,1503,100,16,"24001001503","1400000US24001001503",2,"OthMale",34,0.0436456996148909,0.632862644415918,0.589216988446727,0.632862736842105
"124",140,24,1,1503,100,16,"24001001503","1400000US24001001503",3,"OthFemale",72,0.0924261874197689,0.725288831835687,0.632862736842105,0.725288952503209
"125",140,24,1,1503,100,16,"24001001503","1400000US24001001503",4,"NonfMalone",94,0.120667522464698,0.845956354300385,0.725288952503209,0.845956376123235
"126",140,24,1,1503,100,16,"24001001503","1400000US24001001503",5,"NonfMNalone",17,0.0218228498074454,0.86777920410783,0.845956376123235,0.867779322207959
"127",140,24,1,1503,100,16,"24001001503","1400000US24001001503",6,"NonfFalone",92,0.118100128369705,0.985879332477535,0.867779322207959,0.985879346598203
"128",140,24,1,1503,100,16,"24001001503","1400000US24001001503",7,"NonfFNalone",11,0.0141206675224647,1,0.985879346598203,1
"129",140,24,1,1600,100,17,"24001001600","1400000US24001001600",0,"Total",720,0,0,0,0
"130",140,24,1,1600,100,17,"24001001600","1400000US24001001600",1,"MarriedFamilyHH",371,0.515277777777778,0.515277777777778,0,0.515277826388889
"131",140,24,1,1600,100,17,"24001001600","1400000US24001001600",2,"OthMale",35,0.0486111111111111,0.563888888888889,0.515277826388889,0.563888979166667
"132",140,24,1,1600,100,17,"24001001600","1400000US24001001600",3,"OthFemale",65,0.0902777777777778,0.654166666666667,0.563888979166667,0.654166780555555
"133",140,24,1,1600,100,17,"24001001600","1400000US24001001600",4,"NonfMalone",82,0.113888888888889,0.768055555555555,0.654166780555555,0.768055605555556
"134",140,24,1,1600,100,17,"24001001600","1400000US24001001600",5,"NonfMNalone",36,0.05,0.818055555555556,0.768055605555556,0.818055709722222
"135",140,24,1,1600,100,17,"24001001600","1400000US24001001600",6,"NonfFalone",111,0.154166666666667,0.972222222222222,0.818055709722222,0.97222225
"136",140,24,1,1600,100,17,"24001001600","1400000US24001001600",7,"NonfFNalone",20,0.0277777777777778,1,0.97222225,1
"137",140,24,1,1700,100,18,"24001001700","1400000US24001001700",0,"Total",2098,0,0,0,0
"138",140,24,1,1700,100,18,"24001001700","1400000US24001001700",1,"MarriedFamilyHH",831,0.396091515729266,0.396091515729266,0,0.396091556244042
"139",140,24,1,1700,100,18,"24001001700","1400000US24001001700",2,"OthMale",85,0.0405147759771211,0.436606291706387,0.396091556244042,0.436606398951382
"140",140,24,1,1700,100,18,"24001001700","1400000US24001001700",3,"OthFemale",225,0.107244995233556,0.543851286939943,0.436606398951382,0.54385142135367
"141",140,24,1,1700,100,18,"24001001700","1400000US24001001700",4,"NonfMalone",282,0.13441372735939,0.678265014299333,0.54385142135367,0.678265083412774
"142",140,24,1,1700,100,18,"24001001700","1400000US24001001700",5,"NonfMNalone",145,0.0691134413727359,0.747378455672069,0.678265083412774,0.747378653479504
"143",140,24,1,1700,100,18,"24001001700","1400000US24001001700",6,"NonfFalone",415,0.197807435653003,0.945185891325071,0.747378653479504,0.94518594613918
"144",140,24,1,1700,100,18,"24001001700","1400000US24001001700",7,"NonfFNalone",115,0.0548141086749285,1,0.94518594613918,1
"145",140,24,1,1800,100,19,"24001001800","1400000US24001001800",0,"Total",1657,0,0,0,0
"146",140,24,1,1800,100,19,"24001001800","1400000US24001001800",1,"MarriedFamilyHH",451,0.272178636089318,0.272178636089318,0,0.272178664453832
"147",140,24,1,1800,100,19,"24001001800","1400000US24001001800",2,"OthMale",47,0.0283645141822571,0.300543150271575,0.272178664453832,0.300543225105613
"148",140,24,1,1800,100,19,"24001001800","1400000US24001001800",3,"OthFemale",124,0.0748340374170187,0.375377187688594,0.300543225105613,0.375377371756186
"149",140,24,1,1800,100,19,"24001001800","1400000US24001001800",4,"NonfMalone",305,0.184067592033796,0.55944477972239,0.375377371756186,0.559444901629451
"150",140,24,1,1800,100,19,"24001001800","1400000US24001001800",5,"NonfMNalone",202,0.12190706095353,0.68135184067592,0.559444901629451,0.681352047676524
"151",140,24,1,1800,100,19,"24001001800","1400000US24001001800",6,"NonfFalone",343,0.207000603500302,0.888352444176222,0.681352047676524,0.888352555823778
"152",140,24,1,1800,100,19,"24001001800","1400000US24001001800",7,"NonfFNalone",185,0.111647555823778,1,0.888352555823778,1
"153",140,24,1,1900,100,20,"24001001900","1400000US24001001900",0,"Total",1034,0,0,0,0
"154",140,24,1,1900,100,20,"24001001900","1400000US24001001900",1,"MarriedFamilyHH",610,0.589941972920696,0.589941972920696,0,0.589942025145068
"155",140,24,1,1900,100,20,"24001001900","1400000US24001001900",2,"OthMale",54,0.0522243713733075,0.642166344294004,0.589942025145068,0.642166431334623
"156",140,24,1,1900,100,20,"24001001900","1400000US24001001900",3,"OthFemale",90,0.0870406189555126,0.729206963249516,0.642166431334623,0.729207065764023
"157",140,24,1,1900,100,20,"24001001900","1400000US24001001900",4,"NonfMalone",106,0.102514506769826,0.831721470019342,0.729207065764023,0.831721496131528
"158",140,24,1,1900,100,20,"24001001900","1400000US24001001900",5,"NonfMNalone",27,0.0261121856866538,0.857833655705996,0.831721496131528,0.857833790135396
"159",140,24,1,1900,100,20,"24001001900","1400000US24001001900",6,"NonfFalone",139,0.134429400386847,0.992263056092843,0.857833790135396,0.992263063829787
"160",140,24,1,1900,100,20,"24001001900","1400000US24001001900",7,"NonfFNalone",8,0.00773694390715667,1,0.992263063829787,1
"161",140,24,1,2000,100,21,"24001002000","1400000US24001002000",0,"Total",2297,0,0,0,0
"162",140,24,1,2000,100,21,"24001002000","1400000US24001002000",1,"MarriedFamilyHH",1289,0.561166739225076,0.561166739225076,0,0.561166777535917
"163",140,24,1,2000,100,21,"24001002000","1400000US24001002000",2,"OthMale",88,0.0383108402263822,0.599477579451458,0.561166777535917,0.599477682194166
"164",140,24,1,2000,100,21,"24001002000","1400000US24001002000",3,"OthFemale",236,0.102742707879843,0.702220287331302,0.599477682194166,0.702220387897257
