"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","RAC1PLEVEL","RAC1P","DIS","CDF","Range0","Range1"
"65",140,24,1,700,100,7,"24001000700","1400000US24001000700",4,"AlaskaNativeAlnoe",0,0,0.965456155890168,0.965456155890168,0.965456155890168
"66",140,24,1,700,100,7,"24001000700","1400000US24001000700",5,"AmericanIndianAlaskaNative",2,0.000590493061706525,0.966046648951875,0.965456156480661,0.966046649542368
"67",140,24,1,700,100,7,"24001000700","1400000US24001000700",6,"AsianAlone",14,0.00413345143194567,0.97018010038382,0.966046653085326,0.970180104517272
"68",140,24,1,700,100,7,"24001000700","1400000US24001000700",7,"NativeHawaiianOth",0,0,0.97018010038382,0.97018010038382,0.97018010038382
"69",140,24,1,700,100,7,"24001000700","1400000US24001000700",8,"SomeOtherRace",14,0.00413345143194567,0.974313551815766,0.970180104517272,0.974313555949218
"70",140,24,1,700,100,7,"24001000700","1400000US24001000700",9,"TwoMoreRace",87,0.0256864481842338,1,0.974313577502214,1
"71",140,24,1,800,100,8,"24001000800","1400000US24001000800",0,"Total",2213,0,0,0,0
"72",140,24,1,800,100,8,"24001000800","1400000US24001000800",1,"WhiteAlone",2029,0.916854948034343,0.916854948034342,0,0.91685586488929
"73",140,24,1,800,100,8,"24001000800","1400000US24001000800",2,"BlackorAfricanAmerican",105,0.0474469046543154,0.964301852688658,0.916854995481247,0.964301900135563
"74",140,24,1,800,100,8,"24001000800","1400000US24001000800",3,"AmericanIndianAlone",3,0.00135562584726615,0.965657478535924,0.964301854044284,0.96565747989155
"75",140,24,1,800,100,8,"24001000800","1400000US24001000800",4,"AlaskaNativeAlnoe",0,0,0.965657478535924,0.965657478535924,0.965657478535924
"76",140,24,1,800,100,8,"24001000800","1400000US24001000800",5,"AmericanIndianAlaskaNative",2,0.000903750564844103,0.966561229100768,0.965657479439675,0.966561230004519
"77",140,24,1,800,100,8,"24001000800","1400000US24001000800",6,"AsianAlone",7,0.00316312697695436,0.969724356077722,0.966561232263895,0.969724359240849
"78",140,24,1,800,100,8,"24001000800","1400000US24001000800",7,"NativeHawaiianOth",0,0,0.969724356077722,0.969724356077722,0.969724356077722
"79",140,24,1,800,100,8,"24001000800","1400000US24001000800",8,"SomeOtherRace",5,0.00225937641211026,0.971983732489833,0.969724358337099,0.971983734749209
"80",140,24,1,800,100,8,"24001000800","1400000US24001000800",9,"TwoMoreRace",62,0.0280162675101672,1,0.9719837605061,1
"81",140,24,1,1000,100,9,"24001001000","1400000US24001001000",0,"Total",2547,0,0,0,0
"82",140,24,1,1000,100,9,"24001001000","1400000US24001001000",1,"WhiteAlone",2254,0.884962701217118,0.884962701217118,0,0.884963586179819
"83",140,24,1,1000,100,9,"24001001000","1400000US24001001000",2,"BlackorAfricanAmerican",162,0.0636042402826855,0.948566941499804,0.884962764821358,0.948567005104044
"84",140,24,1,1000,100,9,"24001001000","1400000US24001001000",3,"AmericanIndianAlone",3,0.00117785630153121,0.949744797801335,0.94856694267766,0.949744798979191
"85",140,24,1,1000,100,9,"24001001000","1400000US24001001000",4,"AlaskaNativeAlnoe",1,0.000392618767177071,0.950137416568512,0.949744798193954,0.950137416961131
"86",140,24,1,1000,100,9,"24001001000","1400000US24001001000",5,"AmericanIndianAlaskaNative",3,0.00117785630153121,0.951315272870043,0.950137417746368,0.951315274047899
"87",140,24,1,1000,100,9,"24001001000","1400000US24001001000",6,"AsianAlone",10,0.00392618767177071,0.955241460541814,0.951315276796231,0.955241464468002
"88",140,24,1,1000,100,9,"24001001000","1400000US24001001000",7,"NativeHawaiianOth",6,0.00235571260306243,0.957597173144876,0.955241462897526,0.957597175500589
"89",140,24,1,1000,100,9,"24001001000","1400000US24001001000",8,"SomeOtherRace",11,0.00431880643894778,0.961915979583824,0.957597177463683,0.961915983902631
"90",140,24,1,1000,100,9,"24001001000","1400000US24001001000",9,"TwoMoreRace",97,0.0380840204161759,1,0.961916017667845,1
"91",140,24,1,1100,100,10,"24001001100","1400000US24001001100",0,"Total",1493,0,0,0,0
"92",140,24,1,1100,100,10,"24001001100","1400000US24001001100",1,"WhiteAlone",1378,0.92297387809779,0.92297387809779,0,0.922974801071668
"93",140,24,1,1100,100,10,"24001001100","1400000US24001001100",2,"BlackorAfricanAmerican",70,0.0468854655056932,0.969859343603483,0.922973924983255,0.969859390488948
"94",140,24,1,1100,100,10,"24001001100","1400000US24001001100",3,"AmericanIndianAlone",0,0,0.969859343603483,0.969859343603483,0.969859343603483
"95",140,24,1,1100,100,10,"24001001100","1400000US24001001100",4,"AlaskaNativeAlnoe",0,0,0.969859343603483,0.969859343603483,0.969859343603483
"96",140,24,1,1100,100,10,"24001001100","1400000US24001001100",5,"AmericanIndianAlaskaNative",0,0,0.969859343603483,0.969859343603483,0.969859343603483
"97",140,24,1,1100,100,10,"24001001100","1400000US24001001100",6,"AsianAlone",11,0.00736771600803751,0.97722705961152,0.969859350971199,0.977227066979236
"98",140,24,1,1100,100,10,"24001001100","1400000US24001001100",7,"NativeHawaiianOth",0,0,0.97722705961152,0.97722705961152,0.97722705961152
"99",140,24,1,1100,100,10,"24001001100","1400000US24001001100",8,"SomeOtherRace",3,0.00200937709310114,0.979236436704622,0.977227061620898,0.979236438713999
"100",140,24,1,1100,100,10,"24001001100","1400000US24001001100",9,"TwoMoreRace",31,0.0207635632953784,1,0.979236457468185,1
"101",140,24,1,1200,100,11,"24001001200","1400000US24001001200",0,"Total",3164,0,0,0,0
"102",140,24,1,1200,100,11,"24001001200","1400000US24001001200",1,"WhiteAlone",2833,0.895385587863464,0.895385587863464,0,0.895386483249052
"103",140,24,1,1200,100,11,"24001001200","1400000US24001001200",2,"BlackorAfricanAmerican",136,0.0429835651074589,0.938369152970923,0.895385630847029,0.938369195954488
"104",140,24,1,1200,100,11,"24001001200","1400000US24001001200",3,"AmericanIndianAlone",2,0.000632111251580278,0.939001264222503,0.938369153603034,0.939001264854614
"105",140,24,1,1200,100,11,"24001001200","1400000US24001001200",4,"AlaskaNativeAlnoe",0,0,0.939001264222503,0.939001264222503,0.939001264222503
"106",140,24,1,1200,100,11,"24001001200","1400000US24001001200",5,"AmericanIndianAlaskaNative",0,0,0.939001264222503,0.939001264222503,0.939001264222503
"107",140,24,1,1200,100,11,"24001001200","1400000US24001001200",6,"AsianAlone",99,0.0312895069532238,0.970290771175727,0.93900129551201,0.970290802465234
"108",140,24,1,1200,100,11,"24001001200","1400000US24001001200",7,"NativeHawaiianOth",3,0.000948166877370417,0.971238938053097,0.970290772123894,0.971238939001264
"109",140,24,1,1200,100,11,"24001001200","1400000US24001001200",8,"SomeOtherRace",13,0.00410872313527181,0.975347661188369,0.971238942161821,0.975347665297092
"110",140,24,1,1200,100,11,"24001001200","1400000US24001001200",9,"TwoMoreRace",78,0.0246523388116308,1,0.975347685840708,1
"111",140,24,1,1300,100,12,"24001001300","1400000US24001001300",0,"Total",5268,0,0,0,0
"112",140,24,1,1300,100,12,"24001001300","1400000US24001001300",1,"WhiteAlone",2756,0.523158694001519,0.523158694001518,0,0.523159217160213
"113",140,24,1,1300,100,12,"24001001300","1400000US24001001300",2,"BlackorAfricanAmerican",2448,0.464692482915718,0.987851176917236,0.523159158694001,0.987851641609719
"114",140,24,1,1300,100,12,"24001001300","1400000US24001001300",3,"AmericanIndianAlone",2,0.000379650721336371,0.988230827638573,0.987851177296887,0.988230828018223
"115",140,24,1,1300,100,12,"24001001300","1400000US24001001300",4,"AlaskaNativeAlnoe",0,0,0.988230827638573,0.988230827638573,0.988230827638573
"116",140,24,1,1300,100,12,"24001001300","1400000US24001001300",5,"AmericanIndianAlaskaNative",1,0.000189825360668185,0.988420652999241,0.988230827828398,0.988420653189066
"117",140,24,1,1300,100,12,"24001001300","1400000US24001001300",6,"AsianAlone",8,0.00151860288534548,0.989939255884586,0.988420654517844,0.989939257403189
"118",140,24,1,1300,100,12,"24001001300","1400000US24001001300",7,"NativeHawaiianOth",2,0.000379650721336371,0.990318906605923,0.989939256264237,0.990318906985573
"119",140,24,1,1300,100,12,"24001001300","1400000US24001001300",8,"SomeOtherRace",14,0.00265755504935459,0.992976461655277,0.990318909263478,0.992976464312832
"120",140,24,1,1300,100,12,"24001001300","1400000US24001001300",9,"TwoMoreRace",37,0.00702353834472285,1,0.992976468678816,1
"121",140,24,1,1401,100,13,"24001001401","1400000US24001001401",0,"Total",4110,0,0,0,0
"122",140,24,1,1401,100,13,"24001001401","1400000US24001001401",1,"WhiteAlone",3948,0.960583941605839,0.960583941605839,0,0.960584902189781
"123",140,24,1,1401,100,13,"24001001401","1400000US24001001401",2,"BlackorAfricanAmerican",34,0.00827250608272506,0.968856447688564,0.960583949878345,0.968856455961071
"124",140,24,1,1401,100,13,"24001001401","1400000US24001001401",3,"AmericanIndianAlone",1,0.00024330900243309,0.969099756690998,0.968856447931873,0.969099756934307
"125",140,24,1,1401,100,13,"24001001401","1400000US24001001401",4,"AlaskaNativeAlnoe",0,0,0.969099756690998,0.969099756690998,0.969099756690998
"126",140,24,1,1401,100,13,"24001001401","1400000US24001001401",5,"AmericanIndianAlaskaNative",3,0.00072992700729927,0.969829683698297,0.969099757420925,0.969829684428224
"127",140,24,1,1401,100,13,"24001001401","1400000US24001001401",6,"AsianAlone",70,0.0170316301703163,0.986861313868613,0.969829700729927,0.986861330900243
"128",140,24,1,1401,100,13,"24001001401","1400000US24001001401",7,"NativeHawaiianOth",0,0,0.986861313868613,0.986861313868613,0.986861313868613
"129",140,24,1,1401,100,13,"24001001401","1400000US24001001401",8,"SomeOtherRace",5,0.00121654501216545,0.988077858880779,0.986861315085158,0.988077860097324
"130",140,24,1,1401,100,13,"24001001401","1400000US24001001401",9,"TwoMoreRace",49,0.0119221411192214,1,0.98807787080292,1
"131",140,24,1,1402,100,14,"24001001402","1400000US24001001402",0,"Total",1589,0,0,0,0
"132",140,24,1,1402,100,14,"24001001402","1400000US24001001402",1,"WhiteAlone",1520,0.956576463184393,0.956576463184393,0,0.956577419760856
"133",140,24,1,1402,100,14,"24001001402","1400000US24001001402",2,"BlackorAfricanAmerican",28,0.0176211453744493,0.974197608558842,0.956576480805538,0.974197626179987
"134",140,24,1,1402,100,14,"24001001402","1400000US24001001402",3,"AmericanIndianAlone",0,0,0.974197608558842,0.974197608558842,0.974197608558842
"135",140,24,1,1402,100,14,"24001001402","1400000US24001001402",4,"AlaskaNativeAlnoe",0,0,0.974197608558842,0.974197608558842,0.974197608558842
"136",140,24,1,1402,100,14,"24001001402","1400000US24001001402",5,"AmericanIndianAlaskaNative",2,0.0012586532410321,0.975456261799874,0.974197609817495,0.975456263058527
"137",140,24,1,1402,100,14,"24001001402","1400000US24001001402",6,"AsianAlone",16,0.0100692259282568,0.985525487728131,0.9754562718691,0.985525497797357
"138",140,24,1,1402,100,14,"24001001402","1400000US24001001402",7,"NativeHawaiianOth",0,0,0.985525487728131,0.985525487728131,0.985525487728131
"139",140,24,1,1402,100,14,"24001001402","1400000US24001001402",8,"SomeOtherRace",2,0.0012586532410321,0.986784140969163,0.985525488986784,0.986784142227816
"140",140,24,1,1402,100,14,"24001001402","1400000US24001001402",9,"TwoMoreRace",21,0.013215859030837,1,0.986784154185022,1
"141",140,24,1,1502,100,15,"24001001502","1400000US24001001502",0,"Total",2055,0,0,0,0
"142",140,24,1,1502,100,15,"24001001502","1400000US24001001502",1,"WhiteAlone",2008,0.977128953771289,0.977128953771289,0,0.977129930900243
"143",140,24,1,1502,100,15,"24001001502","1400000US24001001502",2,"BlackorAfricanAmerican",13,0.00632603406326034,0.98345498783455,0.977128960097324,0.983454994160584
"144",140,24,1,1502,100,15,"24001001502","1400000US24001001502",3,"AmericanIndianAlone",3,0.00145985401459854,0.984914841849148,0.983454989294404,0.984914843309002
"145",140,24,1,1502,100,15,"24001001502","1400000US24001001502",4,"AlaskaNativeAlnoe",0,0,0.984914841849148,0.984914841849148,0.984914841849148
"146",140,24,1,1502,100,15,"24001001502","1400000US24001001502",5,"AmericanIndianAlaskaNative",1,0.00048661800486618,0.985401459854015,0.984914842335766,0.985401460340633
"147",140,24,1,1502,100,15,"24001001502","1400000US24001001502",6,"AsianAlone",5,0.0024330900243309,0.987834549878345,0.985401462287105,0.987834552311435
"148",140,24,1,1502,100,15,"24001001502","1400000US24001001502",7,"NativeHawaiianOth",0,0,0.987834549878345,0.987834549878345,0.987834549878345
"149",140,24,1,1502,100,15,"24001001502","1400000US24001001502",8,"SomeOtherRace",1,0.00048661800486618,0.988321167883212,0.987834550364963,0.98832116836983
"150",140,24,1,1502,100,15,"24001001502","1400000US24001001502",9,"TwoMoreRace",24,0.0116788321167883,1,0.988321179562044,1
