SUMLEV,STATE,COUNTY,TRACT,PUMA,CenTrN,GEOID10,AFFGEOID10,CLASS,NPLEVEL,NP,DIS,CDF,Range0,Range1
140,24,1,2200,100,23,24001002200,1400000US24001002200,4,four,185,0.114622057,0.929987608,0.815365666,0.929987655
140,24,1,2200,100,23,24001002200,1400000US24001002200,5,five,75,0.046468401,0.97645601,0.929987655,0.976456026
140,24,1,2200,100,23,24001002200,1400000US24001002200,6,six,26,0.016109046,0.992565056,0.976456026,0.992565063
140,24,1,2200,100,23,24001002200,1400000US24001002200,7,sevenPlus,12,0.007434944,1,0.992565063,1
140,24,3,701101,1204,24,24003701101,1400000US24003701101,0,Total,1567,0,0,0,0
140,24,3,701101,1204,24,24003701101,1400000US24003701101,1,one,337,0.215060625,0.215060625,0,0.215060962
140,24,3,701101,1204,24,24003701101,1400000US24003701101,2,two,528,0.336949585,0.552010211,0.215060962,0.552010384
140,24,3,701101,1204,24,24003701101,1400000US24003701101,3,three,271,0.172941927,0.724952138,0.552010384,0.724952316
140,24,3,701101,1204,24,24003701101,1400000US24003701101,4,four,279,0.178047224,0.902999362,0.724952316,0.902999428
140,24,3,701101,1204,24,24003701101,1400000US24003701101,5,five,104,0.066368858,0.96936822,0.902999428,0.969368244
140,24,3,701101,1204,24,24003701101,1400000US24003701101,6,six,38,0.02425016,0.993618379,0.969368244,0.993618385
140,24,3,701101,1204,24,24003701101,1400000US24003701101,7,sevenPlus,10,0.006381621,1,0.993618385,1
140,24,3,701102,1204,25,24003701102,1400000US24003701102,0,Total,2970,0,0,0,0
140,24,3,701102,1204,25,24003701102,1400000US24003701102,1,one,763,0.256902357,0.256902357,0,0.256902722
140,24,3,701102,1204,25,24003701102,1400000US24003701102,2,two,1085,0.365319865,0.622222222,0.256902722,0.622222381
140,24,3,701102,1204,25,24003701102,1400000US24003701102,3,three,473,0.159259259,0.781481481,0.622222381,0.781481618
140,24,3,701102,1204,25,24003701102,1400000US24003701102,4,four,404,0.136026936,0.917508418,0.781481618,0.917508463
140,24,3,701102,1204,25,24003701102,1400000US24003701102,5,five,136,0.045791246,0.963299663,0.917508463,0.963299683
140,24,3,701102,1204,25,24003701102,1400000US24003701102,6,six,58,0.01952862,0.982828283,0.963299683,0.9828283
140,24,3,701102,1204,25,24003701102,1400000US24003701102,7,sevenPlus,51,0.017171717,1,0.9828283,1
140,24,3,701200,1204,26,24003701200,1400000US24003701200,0,Total,3107,0,0,0,0
140,24,3,701200,1204,26,24003701200,1400000US24003701200,1,one,602,0.193756035,0.193756035,0,0.193756395
140,24,3,701200,1204,26,24003701200,1400000US24003701200,2,two,1120,0.360476344,0.554232379,0.193756395,0.554232564
140,24,3,701200,1204,26,24003701200,1400000US24003701200,3,three,575,0.18506598,0.739298359,0.554232564,0.739298517
140,24,3,701200,1204,26,24003701200,1400000US24003701200,4,four,491,0.158030254,0.897328613,0.739298517,0.897328684
140,24,3,701200,1204,26,24003701200,1400000US24003701200,5,five,222,0.071451561,0.968780174,0.897328684,0.968780194
140,24,3,701200,1204,26,24003701200,1400000US24003701200,6,six,64,0.020598648,0.989378822,0.968780194,0.989378833
140,24,3,701200,1204,26,24003701200,1400000US24003701200,7,sevenPlus,33,0.010621178,1,0.989378833,1
140,24,3,701300,1204,27,24003701300,1400000US24003701300,0,Total,2725,0,0,0,0
140,24,3,701300,1204,27,24003701300,1400000US24003701300,1,one,387,0.142018349,0.142018349,0,0.142018712
140,24,3,701300,1204,27,24003701300,1400000US24003701300,2,two,990,0.363302752,0.505321101,0.142018712,0.505321281
140,24,3,701300,1204,27,24003701300,1400000US24003701300,3,three,491,0.180183486,0.685504587,0.505321281,0.68550476
140,24,3,701300,1204,27,24003701300,1400000US24003701300,4,four,471,0.172844037,0.858348624,0.68550476,0.85834871
140,24,3,701300,1204,27,24003701300,1400000US24003701300,5,five,235,0.086238532,0.944587156,0.85834871,0.944587194
140,24,3,701300,1204,27,24003701300,1400000US24003701300,6,six,103,0.037798165,0.982385321,0.944587194,0.982385339
140,24,3,701300,1204,27,24003701300,1400000US24003701300,7,sevenPlus,48,0.017614679,1,0.982385339,1
140,24,3,701400,1204,28,24003701400,1400000US24003701400,0,Total,1256,0,0,0,0
140,24,3,701400,1204,28,24003701400,1400000US24003701400,1,one,196,0.156050955,0.156050955,0,0.156051307
140,24,3,701400,1204,28,24003701400,1400000US24003701400,2,two,441,0.35111465,0.507165605,0.156051307,0.507165785
140,24,3,701400,1204,28,24003701400,1400000US24003701400,3,three,226,0.179936306,0.687101911,0.507165785,0.687102104
140,24,3,701400,1204,28,24003701400,1400000US24003701400,4,four,242,0.192675159,0.87977707,0.687102104,0.879777148
140,24,3,701400,1204,28,24003701400,1400000US24003701400,5,five,98,0.078025478,0.957802548,0.879777148,0.957802575
140,24,3,701400,1204,28,24003701400,1400000US24003701400,6,six,34,0.027070064,0.984872611,0.957802575,0.984872627
140,24,3,701400,1204,28,24003701400,1400000US24003701400,7,sevenPlus,19,0.015127389,1,0.984872627,1
140,24,3,702100,1204,29,24003702100,1400000US24003702100,0,Total,2609,0,0,0,0
140,24,3,702100,1204,29,24003702100,1400000US24003702100,1,one,514,0.197010349,0.197010349,0,0.197010736
140,24,3,702100,1204,29,24003702100,1400000US24003702100,2,two,1010,0.387121502,0.584131851,0.197010736,0.584132035
