"","SUMLEV","STATE","COUNTY","TRACT","PUMA","CenTrN","GEOID10","AFFGEOID10","CLASS","HUPACLEVEL","HUPAC","DIS","CDF","Range0","Range1"
"129",140,24,3,701200,1204,26,"24003701200","1400000US24003701200",3,"Und6and6to17",205,0.065980045059543,0.361120051496621,0.295140072417123,0.361120690376569
"130",140,24,3,701200,1204,26,"24003701200","1400000US24003701200",4,"NoChild",1985,0.638879948503379,1,0.361120690376569,1
"131",140,24,3,701300,1204,27,"24003701300","1400000US24003701300",0,"Total",2725,0,0,0,0
"132",140,24,3,701300,1204,27,"24003701300","1400000US24003701300",1,"Under6",171,0.0627522935779816,0.0627522935779816,0,0.0627525291743119
"133",140,24,3,701300,1204,27,"24003701300","1400000US24003701300",2,"X6to17",642,0.235596330275229,0.298348623853211,0.0627525291743119,0.298348688807339
"134",140,24,3,701300,1204,27,"24003701300","1400000US24003701300",3,"Und6and6to17",177,0.064954128440367,0.363302752293578,0.298348688807339,0.363303388990826
"135",140,24,3,701300,1204,27,"24003701300","1400000US24003701300",4,"NoChild",1735,0.636697247706422,1,0.363303388990826,1
"136",140,24,3,701400,1204,28,"24003701400","1400000US24003701400",0,"Total",1256,0,0,0,0
"137",140,24,3,701400,1204,28,"24003701400","1400000US24003701400",1,"Under6",81,0.0644904458598726,0.0644904458598725,0,0.0644906799363056
"138",140,24,3,701400,1204,28,"24003701400","1400000US24003701400",2,"X6to17",294,0.234076433121019,0.298566878980892,0.0644906799363056,0.298566934713376
"139",140,24,3,701400,1204,28,"24003701400","1400000US24003701400",3,"Und6and6to17",70,0.0557324840764331,0.354299363057325,0.298566934713376,0.354300008757962
"140",140,24,3,701400,1204,28,"24003701400","1400000US24003701400",4,"NoChild",811,0.645700636942675,1,0.354300008757962,1
"141",140,24,3,702100,1204,29,"24003702100","1400000US24003702100",0,"Total",2609,0,0,0,0
"142",140,24,3,702100,1204,29,"24003702100","1400000US24003702100",1,"Under6",187,0.0716749712533538,0.0716749712533538,0,0.0716751540820238
"143",140,24,3,702100,1204,29,"24003702100","1400000US24003702100",2,"X6to17",477,0.182828669988501,0.254503641241855,0.0716751540820238,0.254503689919509
"144",140,24,3,702100,1204,29,"24003702100","1400000US24003702100",3,"Und6and6to17",127,0.0486776542736681,0.303181295515523,0.254503689919509,0.303181992334228
"145",140,24,3,702100,1204,29,"24003702100","1400000US24003702100",4,"NoChild",1818,0.696818704484477,1,0.303181992334228,1
"146",140,24,3,702204,1201,30,"24003702204","1400000US24003702204",0,"Total",1525,0,0,0,0
"147",140,24,3,702204,1201,30,"24003702204","1400000US24003702204",1,"Under6",127,0.0832786885245902,0.0832786885245902,0,0.0832789068852459
"148",140,24,3,702204,1201,30,"24003702204","1400000US24003702204",2,"X6to17",333,0.218360655737705,0.301639344262295,0.0832789068852459,0.301639415081967
"149",140,24,3,702204,1201,30,"24003702204","1400000US24003702204",3,"Und6and6to17",108,0.0708196721311475,0.372459016393443,0.301639415081967,0.372459643934426
"150",140,24,3,702204,1201,30,"24003702204","1400000US24003702204",4,"NoChild",957,0.627540983606557,1,0.372459643934426,1
"151",140,24,3,702205,1201,31,"24003702205","1400000US24003702205",0,"Total",2302,0,0,0,0
"152",140,24,3,702205,1201,31,"24003702205","1400000US24003702205",1,"Under6",214,0.0929626411815812,0.0929626411815812,0,0.0929628058210251
"153",140,24,3,702205,1201,31,"24003702205","1400000US24003702205",2,"X6to17",379,0.164639443961772,0.257602085143354,0.0929628058210251,0.257602135099913
"154",140,24,3,702205,1201,31,"24003702205","1400000US24003702205",3,"Und6and6to17",115,0.0499565595134666,0.30755864465682,0.257602135099913,0.307559337098176
"155",140,24,3,702205,1201,31,"24003702205","1400000US24003702205",4,"NoChild",1594,0.69244135534318,1,0.307559337098176,1
"156",140,24,3,702206,1201,32,"24003702206","1400000US24003702206",0,"Total",2312,0,0,0,0
"157",140,24,3,702206,1201,32,"24003702206","1400000US24003702206",1,"Under6",253,0.109429065743945,0.109429065743945,0,0.109429308391004
"158",140,24,3,702206,1201,32,"24003702206","1400000US24003702206",2,"X6to17",561,0.242647058823529,0.352076124567474,0.109429308391004,0.352076201124567
"159",140,24,3,702206,1201,32,"24003702206","1400000US24003702206",3,"Und6and6to17",177,0.0765570934256055,0.42863321799308,0.352076201124567,0.428633789359862
"160",140,24,3,702206,1201,32,"24003702206","1400000US24003702206",4,"NoChild",1321,0.57136678200692,1,0.428633789359862,1
"161",140,24,3,702208,1201,33,"24003702208","1400000US24003702208",0,"Total",2541,0,0,0,0
"162",140,24,3,702208,1201,33,"24003702208","1400000US24003702208",1,"Under6",325,0.127902400629673,0.127902400629673,0,0.127902635576545
"163",140,24,3,702208,1201,33,"24003702208","1400000US24003702208",2,"X6to17",597,0.234946871310508,0.362849271940181,0.127902635576545,0.362849347500984
"164",140,24,3,702208,1201,33,"24003702208","1400000US24003702208",3,"Und6and6to17",192,0.0755608028335301,0.438410074773711,0.362849347500984,0.438410636363636
"165",140,24,3,702208,1201,33,"24003702208","1400000US24003702208",4,"NoChild",1427,0.561589925226289,1,0.438410636363636,1
"166",140,24,3,702209,1201,34,"24003702209","1400000US24003702209",0,"Total",1523,0,0,0,0
"167",140,24,3,702209,1201,34,"24003702209","1400000US24003702209",1,"Under6",128,0.0840446487196323,0.0840446487196322,0,0.0840449757058437
"168",140,24,3,702209,1201,34,"24003702209","1400000US24003702209",2,"X6to17",498,0.326986211424819,0.411030860144452,0.0840449757058437,0.411030948785292
"169",140,24,3,702209,1201,34,"24003702209","1400000US24003702209",3,"Und6and6to17",135,0.0886408404464872,0.499671700590939,0.411030948785292,0.499672200919238
"170",140,24,3,702209,1201,34,"24003702209","1400000US24003702209",4,"NoChild",762,0.500328299409061,1,0.499672200919238,1
"171",140,24,3,702300,1204,35,"24003702300","1400000US24003702300",0,"Total",1944,0,0,0,0
"172",140,24,3,702300,1204,35,"24003702300","1400000US24003702300",1,"Under6",100,0.051440329218107,0.0514403292181069,0,0.0514405715020575
"173",140,24,3,702300,1204,35,"24003702300","1400000US24003702300",2,"X6to17",471,0.242283950617284,0.293724279835391,0.0514405715020575,0.29372433590535
"174",140,24,3,702300,1204,35,"24003702300","1400000US24003702300",3,"Und6and6to17",109,0.0560699588477366,0.349794238683128,0.29372433590535,0.349794888888889
"175",140,24,3,702300,1204,35,"24003702300","1400000US24003702300",4,"NoChild",1264,0.650205761316872,1,0.349794888888889,1
"176",140,24,3,702402,1204,36,"24003702402","1400000US24003702402",0,"Total",3030,0,0,0,0
"177",140,24,3,702402,1204,36,"24003702402","1400000US24003702402",1,"Under6",153,0.0504950495049505,0.0504950495049505,0,0.0504951310231024
"178",140,24,3,702402,1204,36,"24003702402","1400000US24003702402",2,"X6to17",247,0.0815181518151815,0.132013201320132,0.0504951310231024,0.132013224092409
"179",140,24,3,702402,1204,36,"24003702402","1400000US24003702402",3,"Und6and6to17",69,0.0227722772277228,0.154785478547855,0.132013224092409,0.154786323762376
"180",140,24,3,702402,1204,36,"24003702402","1400000US24003702402",4,"NoChild",2561,0.845214521452145,1,0.154786323762376,1
"181",140,24,3,702500,1204,37,"24003702500","1400000US24003702500",0,"Total",2176,0,0,0,0
"182",140,24,3,702500,1204,37,"24003702500","1400000US24003702500",1,"Under6",225,0.103400735294118,0.103400735294118,0,0.103400955882353
"183",140,24,3,702500,1204,37,"24003702500","1400000US24003702500",2,"X6to17",480,0.220588235294118,0.323988970588235,0.103400955882353,0.323989103860294
"184",140,24,3,702500,1204,37,"24003702500","1400000US24003702500",3,"Und6and6to17",290,0.133272058823529,0.457261029411765,0.323989103860294,0.457261572150735
"185",140,24,3,702500,1204,37,"24003702500","1400000US24003702500",4,"NoChild",1181,0.542738970588235,1,0.457261572150735,1
"186",140,24,3,702601,1204,38,"24003702601","1400000US24003702601",0,"Total",2184,0,0,0,0
"187",140,24,3,702601,1204,38,"24003702601","1400000US24003702601",1,"Under6",184,0.0842490842490843,0.0842490842490842,0,0.0842492719780219
"188",140,24,3,702601,1204,38,"24003702601","1400000US24003702601",2,"X6to17",410,0.187728937728938,0.271978021978022,0.0842492719780219,0.271978088369963
"189",140,24,3,702601,1204,38,"24003702601","1400000US24003702601",3,"Und6and6to17",145,0.0663919413919414,0.338369963369963,0.271978088369963,0.338370625
"190",140,24,3,702601,1204,38,"24003702601","1400000US24003702601",4,"NoChild",1445,0.661630036630037,1,0.338370625,1
"191",140,24,3,702602,1204,39,"24003702602","1400000US24003702602",0,"Total",2317,0,0,0,0
"192",140,24,3,702602,1204,39,"24003702602","1400000US24003702602",1,"Under6",165,0.0712127751402676,0.0712127751402676,0,0.0712129706517048
"193",140,24,3,702602,1204,39,"24003702602","1400000US24003702602",2,"X6to17",453,0.19551143720328,0.266724212343548,0.0712129706517048,0.266724272766508
"194",140,24,3,702602,1204,39,"24003702602","1400000US24003702602",3,"Und6and6to17",140,0.0604229607250755,0.327147173068623,0.266724272766508,0.32714784592145
"195",140,24,3,702602,1204,39,"24003702602","1400000US24003702602",4,"NoChild",1559,0.672852826931377,1,0.32714784592145,1
"196",140,24,3,702701,1204,40,"24003702701","1400000US24003702701",0,"Total",2203,0,0,0,0
"197",140,24,3,702701,1204,40,"24003702701","1400000US24003702701",1,"Under6",140,0.0635497049477985,0.0635497049477984,0,0.0635497802995914
"198",140,24,3,702701,1204,40,"24003702701","1400000US24003702701",2,"X6to17",166,0.0753517930095325,0.138901497957331,0.0635497802995914,0.138901519745801
"199",140,24,3,702701,1204,40,"24003702701","1400000US24003702701",3,"Und6and6to17",48,0.0217884702678166,0.160689968225147,0.138901519745801,0.160690807535179
"200",140,24,3,702701,1204,40,"24003702701","1400000US24003702701",4,"NoChild",1849,0.839310031774853,1,0.160690807535179,1
"201",140,24,3,702702,1204,41,"24003702702","1400000US24003702702",0,"Total",1505,0,0,0,0
"202",140,24,3,702702,1204,41,"24003702702","1400000US24003702702",1,"Under6",90,0.0598006644518272,0.0598006644518272,0,0.0598008564784053
"203",140,24,3,702702,1204,41,"24003702702","1400000US24003702702",2,"X6to17",289,0.19202657807309,0.251827242524917,0.0598008564784053,0.251827285049834
"204",140,24,3,702702,1204,41,"24003702702","1400000US24003702702",3,"Und6and6to17",64,0.0425249169435216,0.294352159468439,0.251827285049834,0.294352865116279
"205",140,24,3,702702,1204,41,"24003702702","1400000US24003702702",4,"NoChild",1062,0.705647840531561,1,0.294352865116279,1
"206",140,24,3,706101,1204,42,"24003706101","1400000US24003706101",0,"Total",1719,0,0,0,0
"207",140,24,3,706101,1204,42,"24003706101","1400000US24003706101",1,"Under6",73,0.0424665503199535,0.0424665503199535,0,0.0424666160558465
